Side 1,Leaders 1,Strength 1,Casualties 1,Side 2,Leaders 2,Strength 2,Casualties 2
{{flagicon|USA|1912}},{{flagicon|USA|1912}},"3 parachute infantry regiments 60 tanks (2nd Armored Div.)ref name=""Band of Brothers""",32 dead 73 wounded,{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},"1 parachute infantry battalion,  1 Waffen SS armored division",43 dead 89 wounded 2 tanks destroyed
{{flag|United Kingdom}},{{flagicon|United Kingdom}},2 infantry divisions1 armoured division1 armoured brigade1 tank brigade,"4,020–4,900 casualties 150 tanks damaged or knocked out",{{flagcountry|Nazi Germany}},{{flagicon|Germany|Nazi}},3 SS panzer divisions5 ad-hoc battle groups1 SS heavy tank battalion,"Over 3,000 casualties 125–126 tanks damaged or knocked out"
{{flag|Canada|1921}},{{flagicon|Canada|1921}},4 Infantry Battalions1 Machine Gun Battalion2 Armoured Regiments,"377 casualties, 17 tanks",{{flag|Nazi Germany|name|=|Nazi Germany}},{{flagicon|Nazi Germany}},1 battalion each from SS Panzergrenadier Regiments 26 and 1 1 ''Flak'' Battery15 tanks initially,{{circa|270 infantry}}
{{flag|United Kingdom|23px}},{{flagicon|United Kingdom|23px}},"3 infantry divisionsref name=""Trew32"", 3 armoured brigadesref name=""Trew32""","{{#tag:ref|Major Ellis, the British official campaign historian, states that about 80 tanks were either destroyed or put out of action during the operation.|ref| name=""Ellis316""|group|=|nb}}",{{flagcountry|Nazi Germany|23px}},{{flagicon|Nazi Germany|23px}},"{{#tag:ref|The 12th SS Panzer Division's tank strength on 7 July was 24 Panthers and 37 Panzer IVs.|ref| name=""Trew35""|group|=|nb}}","{{#tag:ref|The 12th SS Panzer Division recorded the loss of 11 Panthers and 7 Panzer IVs.|ref| name=""Trew46""|group|=|nb}}"
{{flagicon|United Kingdom}},General Miles Dempsey,6 infantry divisions5 tank/armoured brigades,"3,000–3,500",{{flagicon|Germany|Nazi}},General Heinrich Eberbach,4 infantry divisions3 Panzer divisions1 heavy tank battalion,"{{circa|2,000}}"
{{flag|United Kingdom}},{{flagicon|United Kingdom}},"{{circa|1,100 tanks}}","3,474 casualties314 tanks",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},3 armoured divisions2 heavy tank battalions (377 tanks)4 infantry divisions,"unknown total casualties2,000–2,500+ captured75–100 tanks"
{{flag|Canada|1921}},{{flagicon|Canada|1921}},2 Infantry divisions1 Armoured Brigade,"1,349–1,965",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},2 Panzer divisions,Unknown
{{flag|Canada|1921}},{{flagicon|Canada|1921}},"2 Infantry Divisions,1 Armoured Brigade",{{ref|casualties|a]}},{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},2 Panzer Divisionsremnants of 1 Panzer Division1 Infantry Division,{{ref|casualties|a]}}
{{flag|Canada|1921}},{{flagicon|Canada|1921}},2 Infantry Division 2 Armoured Divisions1 Armoured Brigade,"450 killed1,100 wounded",{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},3 Panzer Divisions,unknown
{{flag|United States|1912}},{{flagicon|United Kingdom}},"8 infantry divisionsref name=strength3 armored divisionsref name=strength 2,451 tanks and tank destroyersref name=""Zaloga, p.30""ref name= Hastings236ref name=""Jackson113""","{{#tag:ref|Of which 700 were from VIII Corps,|ref|Green, p. 62|| and 600 from VII Corps, while the rest are from unknown specific other units.|ref|Pugsley, p. 53||group|=|nb}}",{{flag|Nazi Germany|name|=|Germany|1935}},{{flagicon|Nazi Germany|1935}},"2 infantry divisionsref name=strength1 parachute divisionref name=strength4 understrength ''Panzer'' divisionsref name=strength1 ''Panzergrenadier'' divisionref name= strengthPugsley, p. 47&lt;/ref&gt;190 tanks and assault gunsref name=Hastings236ref name= ""Jackson113""","~ 70 tanks and assault guns ref name=""Stephen Napier, Armoured Campaign""Stephen Napier, Armoured Campaign&lt;/ref&gt;"
{{flag|Canada|1921}},{{flagicon|Canada|1921}},{{sfn|Hart|2004|p|=|23}},"{{efn|Michael Reynolds quoting Stanisław Maczek, places the Polish losses during the operation at 656 men.|sfn|Reynolds|2001|p|=|246| Copp wrote that Canadian losses included more than 600 men killed.|sfn|Copp|2004|p|=|211}}",{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},{{sfn|Hart|2004|p|=|32}},"{{efn|Copp states that German losses are estimated but did include 1,270 prisoners.|sfn|Copp|2004|p|=|211}}"
{{flag|United States|1912}},Omar Bradley,5 Infantry Divisions3 Armored combat commandsNinth Air Force|USAAF Ninth Air ForceRAF Second Tactical Air Force,"2,000–3,000 killed",{{flagcountry|Nazi Germany}},Günther von Kluge,3 Panzer Divisions2 Infantry Divisions5 Panzer or Infantry kampfgruppe|battlegroups150 tanks and assault guns,unknown number of infantry  120 tanks and assault guns destroyed or damaged
{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},"2 Infantry Divisions2 Armoured Divisions1 Armoured Brigade, 1 Tank Brigaderef name=""Fortin68""Fortin, p. 68&lt;/ref&gt;","Canada: see #Casualties|Casualties sectionPoland: 1,441 casualties",{{flagicon|Nazi Germany}},{{flagicon|Nazi Germany}},1 SS ''Panzer'' Divisionremnants of 2 Infantry Divisions,Unknown
{{flag|Poland}},{{flagicon|Poland}},"1,500 infantryref name=Reynolds200287~80 tanksref name=Reynolds200287",351 casualtiesref name=McGilvray54ref name=Reynolds200128011 tanksref name=McGilvray54ref name=Reynolds2001280,{{flagicon|Germany|Nazi}},{{flagicon|Germany|Nazi}},"{{#tag:ref|Among others these included the 1st SS Panzer Division|1st SS, 2nd SS Panzer Division Das Reich|2nd SS, 9th SS Panzer Division Hohenstaufen|9th SS, 10th SS Panzer Division Frundsberg|10th SS, 12th SS Panzer Division|12th SS, 2nd Panzer Division|2nd and 116th Panzer Division|116th Panzer Divisions, and the 3rd Parachute Division (Germany)|3rd Parachute, 84th, 276th, 277th Infantry Division (Wehrmacht)|277th, 326th Infantry Division (Wehrmacht)|326th, 353rd and 363rd Infantry Divisions.|ref| name=""Hastings303""|ref| name=McGilvray41|group|=|nb}}","{{#tag:ref|According to McGilvray, around 500 dead and 1,000 captured.|ref| name=McGilvray54|group|=|nb}}"
{{flag|United States|1912}},{{flagicon|United Kingdom}},up to 17 divisions,"{{refn|From 8 until 21 August: 1,479 killed or died of wounds, 4,023 wounded or injured, and 177 captured.|ref|Stacey, p. 271||group|=|nb}}",{{flagcountry|Nazi Germany|1935}},{{flagicon|Nazi Germany|1935}},14–15 divisions,"{{circa|60,000:}}"
{{flag|United States|1912}},{{flagicon|United States|1912}},VIII Corps (United States)|VIII Corps* 2nd Infantry Division (United States)|2nd Infantry Division* 8th Infantry Division (United States)|8th Infantry Division* 29th Infantry Division (United States)|29th Infantry Division* 2nd Ranger Battalion (United States)|2nd Ranger Battalion* 5th Ranger Battalion (United States)|5th Ranger Battalion* 79th Armoured Division (United Kingdom)|79th Armoured Division (elements)* 6th Armored Division (United States)|6th Armored Division (elements),"4,000https://web.archive.org/web/20080704104847/http://www.germanwarmachine.com/info_43.html]-9,831https://www.ibiblio.org/hyperwar/USA/USA-E-Breakout/USA-E-Breakout-30.html]",{{flagcountry|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},2nd Parachute Division (Germany)|2nd Fallschirmjäger-Division266th Infantry Division (Wehrmacht)|266. Infanterie-Division343th Infantry Division (Wehrmacht)|343. Infanterie-Division,POW Entire remaining force
{{flagicon|Free France}},{{flagicon|Free French}},,"'''French Resistance:'''1,600 deadref name=""Lib&#233;ration de Paris""http://gaminsdulux.fr/ce2cm1/histoire/lib-paris.pdf ""''Lib&#233;ration de Paris'' &amp;#91;Liberation of Paris&amp;#93;""] (in French). (Portable Document Format|PDF format).&lt;/ref&gt;'''Free French Forces:'''130 dead319 woundedref""The Lost Evidence&amp;nbsp;&#8211; Liberation of Paris"".  History (U.S. TV channel)|History.&lt;/ref&gt;'''United States:''' Unknownrefhttp://www.liberation-de-paris.gilles-primout.fr/americains.htm ""''Lib&#233;ration de Paris forces am&#233;ricaines''""] (in French).&lt;/ref&gt;",{{flagcountry|Nazi Germany|1935}},{{flagicon|Nazi Germany|1935}},,"3,200 dead12,800 prisonersref name=""Lib&#233;ration de Paris"""
{{flag|United States|1912}},{{flagicon|United States|1912}},{{sfnp|Clarke|Smith|1993|p|=|92}},{{flagicon|United States|1912}},{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{sfnp|Clarke|Smith|1993|p|=|70}},{{flagicon|Nazi Germany}}
{{flag|United States|1912}},File:US Naval Jack 48 stars.svg|23px William Christopher Hughes Jr.|William C. Hughes,"'''Land:'''1,800 infantry'''Sea:'''1 destroyer",9 killed,{{flagcountry|Nazi Germany|1935}},unknown,'''Land:'''5 forts'''Sea:'''1 corvette1 aviso,1 corvette sunk1 aviso sunk5 forts captured
{{flag|United States|1912|23px}},File:US Naval Jack 48 stars.svg|23px John D. Bulkeley,1 destroyer2 gunboats17 PT boats,"'''United States:''',  1 man wounded1 destroyer damaged'''United Kingdom:''',  Unknown",{{flagcountry|Nazi Germany|23px}},{{flagicon|Nazi Germany|naval|23px}},1 corvette1 naval yacht,169 captured1 corvette sunk1 naval yacht sunk
{{flag|United States|1912}},{{flagicon|United States|1912}},"4.5 million troops (91 divisions)ref name=""MacDonald, C 2005""MacDonald, C (2005), ''The Last Offensive: The European Theater of Operations''. University Press of the Pacific, p.322&lt;/ref&gt;","'''U.S.:'''240,082 casualties(50,410 killed, 172,450 wounded, 24,374 captured or missing)(15 September 1944 – 21 March 1945)'''U.K.'''~32,366'''Total:'''272,448+ref{{cite book|author1=US Adjutant General|title=Army battle casualties and nonbattle deaths in World War II.|date=1953|page=93|url=http://cgsc.cdmhost.com/cdm/compoundobject/collection/p4013coll8/id/130|accessdate=29 June 2017}}&lt;/ref&gt;",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},{{Citation needed|date|=|March 2011}},"400,000+ casualtiesrefZaloga, Steve, and Dennis, Peter (2006). Remagen 1945: endgame against the Third Reich. Oxford: Osprey Publishing. {{ISBN|1-84603-249-0}}. Page 88.&lt;/ref&gt;*~40,000 killed*~80,000 wounded*280,000+ captured"
{{flag|Canada|1921}},{{flagicon|Canada|1921}},,,{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},,
{{flag|United Kingdom}},{{flagicon|Canada|1921}},2 divisions and 79th Armoured Division attachments,388–50040 armoured vehicles,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"{{circa|12,000}}","600 killed11,300 captured"
{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},,,{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},,
{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},"2 infantry brigades with supporting armour, artillery and aircraft","600ref name=rep184-88 Report 184, para.88&lt;/ref&gt;",{{flag|Nazi Germany}},{{flagicon|Nazi Germany}},10000,"~500 (9,500 taken prisoner)"
{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},,approx. 260,{{flag|Nazi Germany}},{{flagicon|Germany|Nazi}},"7,500 in Calais","9,128 captured, including ""about 1,600"" from Cape Gris Nez"
{{flag|United Kingdom}},{{flagicon|UK}},{{sfn|Reynolds|2001|p|=|173}},{{efn|XXX Corps lost 70 tanks while VIII and XII Corps lost c. 18 tanks.|sfn|MacDonald|1963|p|=|199|loc|=|and endnotes}},{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},"{{efn|While the size of the German force used to oppose Market Garden is currently unknown, Michael Reynolds notes that Fifteenth Army, based to the west of the axis of advance, contained over 80,000 men. The strength of First Parachute Army is not given. However, Reynolds notes it had just been reinforced with over 30,000 men from the Luftwaffe, including paratroopers in various stages of training. Finally, the 9th and 10th SS Panzer Divisions each contained in the neighborhood of 6,000–7,000 men.|sfn|Reynolds|2001|pp|=|100–01}}",{{sfn|Ryan|1999|p|=|457}}
{{flag|United Kingdom}},{{flagicon|UK}},{{flagicon|UK}},"#Approx 1,984 killed6,854 captured",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},"*Elements off:, Image:Flag Schutzstaffel.svg|20px 9th SS Panzer Division Hohenstaufen|9th Panzer DivisionImage:Flag Schutzstaffel.svg|20px 10th SS Panzer Division Frundsberg|10th Panzer Division","#Approx 1,300 killed2,000 wounded"
{{flag|United States|1912}},George S. Patton,,,{{flagcountry|Nazi Germany}},Otto von Knobelsdorff,,
File:Bandera de Borgoña.svg|23px Duchy of Burgundy,{{KIA}},"2,000-8,000 menref name=Vaughan","Unknown, presumably near total",{{flagicon|Lorraine|1477}},"File:Lorraine Arms 1473.svg|20px René II, Duke of LorraineSwiss mercenaries","Lorraine 10,000-12,000 men,  Swiss 8,000-10,000 menref name=HDS",Unknown
{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},{{flagicon|Canada|1921}},~250 killed wounded or captured,{{flag|Nazi Germany|name|=|Germany}},,{{flagicon|Nazi Germany}},"~700 killed, wounded or captured"
{{flag|United States|1912}},"Omar Bradley, Courtney Hodges",120000,"33,000ref name=""Zabecki""Zabecki p. 1537&lt;/ref&gt;ref group=notesThe figure of 33,000 includes 9,000 friendly fire and non-combat casualties during the battle&lt;/ref&gt;",{{flagcountry|Nazi Germany}},Walter Model,80000,"28,000ref name=""Miller188""Miller (1995) p. 188&lt;/ref&gt;"
{{flag|United Kingdom}},{{Flagicon|United Kingdom}},2 divisions,"1,878 men3 aircraft40 tanks",{{flagcountry|Nazi Germany}},{{Flagicon|Nazi Germany}},1 division?,600 infantryunknown number of tanks
{{flag|United States|1912}},"Courtney Hodges ,  First United States Army|(US First Army) ,  Clarence R. Huebner (1st Infantry Division (United States)|1st Infantry Division) ,  Leland S. Hobbs ,  (30th Infantry Division (United States)|30th Infantry Division)","100,000 soldiers","5,000+ casualtiesref name=""Ambrose 1997, p. 151""Ambrose (1997), p. 151&lt;/ref&gt;, 2,000 killedrefhttp://www.300thcombatengineersinwwii.com/germanyH.html&lt;/ref&gt;",{{flagcountry|Nazi Germany}},Gerhard Wilck,"13,000 soldiers5,000 Volkssturm","10,000+ casualties, 4,400 killed,ref http://www.usarmymodels.com/MODEL%20GALLERY/Aachen/2battleforaachen.html&lt;/ref&gt; 5,600 prisoners ref name=""Ambrose 1997, p. 151""&lt;/ref&gt;"
{{flagcountry|Nazi Germany}},Gerhard Wilck,,,{{flag|United States|1912}},"Henry G. Leonard, Jr.",,
{{flag|Canada|1921}},{{flagicon|United Kingdom}},60000,"Canadian: 6,367Total: 12,873",{{flagcountry|Nazi Germany}},{{flagicon|Nazi Germany}},90000,"Roughly 10-12,00041,043 captured"
{{flag|United States|1912}},"Omar Bradley, Courtney Hodges, William Hood Simpson",First United States Army|First U.S. ArmyNinth United States Army|Ninth U.S. Army,{{ref label|A|a|a}},{{flag|Nazi Germany|name|=|Germany}},"Walter Model, Gustav-Adolf von Zangen, Erich Brandenberger",15th Army (Wehrmacht)|15th Army7th Army (Wehrmacht)|7th Army,"Casualties equal to the Alliesref name=""MacDonald 1993, p. 594"""
{{flag|United Kingdom}},{{flagicon|United Kingdom}},,{{flagicon|United States|1912}},{{flag|Nazi Germany|name|=|Germany}},{{flagicon|Nazi Germany}},,{{flagicon|Nazi Germany}}
{{plainlist |* |flag|United States|1912|* |flag|United Kingdom|1801|* |flagdeco|France|1794| Provisional Government of the French Republic|France* |flag|Canada|1921|* |flag|Belgium|* |flag|Luxembourg|}},"{{ubl   |flagicon|United States|1912| Dwight D. Eisenhower   |(Supreme Headquarters Allied Expeditionary Force|Supreme Allied Commander)   |flagicon|United Kingdom|1801| Bernard Montgomery   |(21st Army Group, First United States Army|First U.S. Army, Ninth United States Army|Ninth U.S. Army)   |flagicon|United States|1912| Omar Bradley   |(Twelfth United States Army Group|12th U.S. Army Group)   |flagicon|United States|1912| Courtney Hodges   |(First United States Army|First U.S. Army)   |flagicon|United States|1912| George S. Patton   |(United States Army Central|Third U.S. Army)   |item2_style|=|font-size:95%;|item4_style|=|font-size:95%;|item7_style|=|font-size:95%;|item9_style|=|font-size:95%;|item11_style|=|font-size:95%;|item13_style|=|font-size:95%;}}","{{plainlist |; 16 December: 6 infantry divisions: 2 armored divisions; Initial: 228,741 men: 483 tanks: 499 tank destroyers and assault guns: 1,921 other tracked AFVs: 971 anti-tank and artillery pieces; 24 December: 15 infantry divisions: 6 armored divisions: 1 armored brigade; With reinforcement: ~541,000 men: 1,616 tanks: 1,713 tank destroyers and assault guns: 5,352 other tracked AFVs: 2,408 anti-tank and artillery pieces; 16 January: 22 infantry divisions: 8 armored divisions: 2 armored brigades|ref| name=""Hitler's Last Gamble""|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0-06-016627-4}} Appendices E and F||; With reinforcement: 700,520 men: 4,155 artillery pieces: 2,428 tanks: 1,912 tank destroyers and assault guns: 7,079 other tracked AFVs: 3,181 anti-tank and artillery pieces: 6,000 aircraft}}","{{plainlist |; |flagicon|United States|1912| American: 89,500 – 105,102 casualties|sfn|Miles|2004|ref| name=""cgsc.cdmhost.com""|{{cite web |url=http://cgsc.cdmhost.com/cdm4/document.php?CISOROOT=/p4013coll8&CISOPTR=130&REC=2 |publisher=Combined Arms Research Library, Department of the Army |title=Army Battle Casualties and Nonbattle Deaths in World War II |accessdate=12 June 2012 |date=25 June 1953}}||rp|92|: 19,000 killed,: 47,500 wounded,: 23,000 captured or missing: 700–800+ tanks, tank destroyers, and assault guns destroyed|sfn|Shaw|2000|p|=|168|: ~1000 aircraft lost, over 647 in December|sfn|Vogel|2001|p|=|632| and 353 during: Unternehmen Bodenplatte|ref|{{Harvnb|Parker|1991|pp=339}}||; |flagicon|United Kingdom|1801| British: 1,408 (200 killed, 969 wounded, and 239 missing)|sfn|Ellis|2009|p|=|195|}}",{{flagcountry|Nazi Germany}},{{ubl   |flagicon|Nazi Germany| Adolf Hitler   |(Führer|Leader and Chancellor)   |flagicon|Nazi Germany| Walter Model   |(Army Group B)   |flagicon|Nazi Germany| Gerd von Rundstedt   |(OB West)   |flagicon|Nazi Germany| Hasso von Manteuffel   |(5th Panzer Army)   |flagicon|Nazi Germany| Sepp Dietrich   |(6th Panzer Army)   |flagicon|Nazi Germany| Erich Brandenberger   |(7th Army (Wehrmacht)|7th Army)   |item2_style|=|font-size:95%;|item4_style|=|font-size:95%;|item6_style|=|font-size:95%;|item8_style|=|font-size:95%;|item10_style|=|font-size:95%;|item12_style|=|font-size:95%;}},"{{plainlist |; 16 December: 13 infantry divisions|efn|Includes two parachute divisions.|: 7 armored divisions: 1 brigade|ref| name=""ReferenceC""|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0-06-016627-4}} Page 18.||; Initial: 406,000 men: 557 tanks: 667 tank destroyers and assault guns: 1,261 other tracked AFVs: 4,224 anti-tank and artillery pieces; 24 December: 16 infantry divisions: 8 armored divisions: 1 armored brigade: 2 infantry brigades; With reinforcement: ~449,000 men: 423 tanks: 608 tank destroyers and assault guns: 1,496 other tracked AFVs: 4,131 anti-tank and artillery pieces; 16 January: 16 infantry divisions: 8 armored divisions: 2 infantry brigades|ref| name=""Hitler's Last Gamble""|{{cite book|last1=Dupuy|first1=Trevor|title=Hitler's Last Gamble|date=1994|publisher=HarperCollins|location=New York|isbn=0-06-016627-4}} Appendices E and F||}}","{{plainlist |; |flagicon|Nazi Germany| German: 67,459|efn|10,749 dead; 34,225 wounded; 22,487 captured|sfn|Vogel|2001|p|=|632| – 125,000 casualties|ref|{{Harvnb|Cirillo|2003}}||ref| name=""astor""|{{cite book|title=A Blood Dimmed Tide, The Battle of the Bulge by the Men Who Fought It|last=Astor|first=Gerald|year=1992|publisher=Donald I. Fine, Inc.|isbn=1-55611-281-5}}|| (includes killed, wounded, missing, captured): 600–800+ tanks and assault guns destroyed|sfn|Shaw|2000|p|=|168|sfn|Shirer|1990|p|=|1095|ref|{{Harvnb|Parker|1991|pp=338}}||: ~800 aircraft lost, over 500 in December and 280 during: Unternehmen Bodenplatte|ref|{{Harvnb|Parker|1991|pp=339}}||}}"
